age,gender,adopt2fa,aware2fa,status2fa,education,agegroup,location,income
25,female,no,yes,skip 2fa,college degree,20-29,Sulawesi,low
22,female,yes,yes,use 2fa,no college,20-29,Sumatra,low
21,female,yes,yes,use 2fa,no college,20-29,Sumatra,low
22,female,no,no,no awareness,no college,20-29,Sumatra,low
21,female,no,no,no awareness,no college,20-29,Java,low
16,male,no,no,no awareness,no college,13-19,Java,low
15,female,no,no,no awareness,no college,13-19,Java,low
25,male,yes,yes,use 2fa,college degree,20-29,Sulawesi,low
29,female,yes,yes,use 2fa,college degree,20-29,Borneo,low
19,female,yes,yes,use 2fa,no college,13-19,Bali & NT,low
19,female,no,no,no awareness,no college,13-19,Borneo,low
17,male,no,no,no awareness,no college,13-19,Java,low
17,male,no,yes,skip 2fa,no college,13-19,Java,low
19,male,no,yes,skip 2fa,no college,13-19,Java,low
24,male,no,no,no awareness,no college,20-29,Java,low
37,female,no,no,no awareness,college degree,30-49,Sulawesi,low
20,female,yes,yes,use 2fa,no college,20-29,Bali & NT,low
22,female,no,yes,skip 2fa,no college,20-29,Java,low
22,male,no,yes,skip 2fa,no college,20-29,Java,low
23,female,no,no,no awareness,no college,20-29,Bali & NT,low
19,male,yes,yes,use 2fa,no college,13-19,Sumatra,low
21,male,no,yes,skip 2fa,no college,20-29,Borneo,low
21,female,yes,yes,use 2fa,no college,20-29,Sulawesi,low
23,female,no,no,no awareness,no college,20-29,Sulawesi,low
21,male,no,yes,skip 2fa,no college,20-29,Java,low
22,male,yes,yes,use 2fa,no college,20-29,Java,low
22,female,no,no,no awareness,no college,20-29,Java,low
23,female,no,no,no awareness,college degree,20-29,Sulawesi,low
22,female,no,no,no awareness,no college,20-29,Java,low
16,female,yes,yes,use 2fa,no college,13-19,Java,low
23,female,no,yes,skip 2fa,college degree,20-29,Java,low
24,female,no,yes,skip 2fa,college degree,20-29,Sulawesi,low
19,female,no,no,no awareness,no college,13-19,Borneo,low
19,male,no,yes,skip 2fa,no college,13-19,Java,low
19,male,no,no,no awareness,no college,13-19,Sulawesi,low
20,female,no,yes,skip 2fa,college degree,20-29,Sulawesi,low
22,male,yes,yes,use 2fa,no college,20-29,Java,low
24,female,no,no,no awareness,college degree,20-29,Sulawesi,low
19,female,no,no,no awareness,no college,13-19,Java,low
19,female,no,no,no awareness,no college,13-19,Bali & NT,low
25,male,no,no,no awareness,no college,20-29,Sulawesi,low
27,female,no,yes,skip 2fa,college degree,20-29,Java,low
24,male,yes,yes,use 2fa,no college,20-29,Java,low
21,female,no,no,no awareness,no college,20-29,Java,low
21,female,yes,yes,use 2fa,no college,20-29,Java,low
16,male,yes,yes,use 2fa,no college,13-19,Borneo,low
20,female,no,yes,skip 2fa,no college,20-29,Sumatra,low
15,female,no,no,no awareness,no college,13-19,Sumatra,low
32,female,no,yes,skip 2fa,college degree,30-49,Sumatra,low
17,male,yes,yes,use 2fa,no college,13-19,Java,low
23,male,no,no,no awareness,no college,20-29,Papua & Moluccas,low
15,female,yes,yes,use 2fa,no college,13-19,Java,low
30,female,no,no,no awareness,college degree,30-49,Borneo,low
22,female,no,no,no awareness,no college,20-29,Bali & NT,low
19,female,no,yes,skip 2fa,no college,13-19,Java,low
23,female,no,no,no awareness,college degree,20-29,Bali & NT,low
20,female,no,yes,skip 2fa,no college,20-29,Sumatra,low
21,female,no,yes,skip 2fa,no college,20-29,Java,low
22,female,no,yes,skip 2fa,no college,20-29,Java,low
21,male,no,yes,skip 2fa,no college,20-29,Bali & NT,low
21,female,no,no,no awareness,no college,20-29,Java,low
23,female,no,no,no awareness,no college,20-29,Sulawesi,low
19,male,yes,yes,use 2fa,no college,13-19,Java,low
22,male,no,no,no awareness,no college,20-29,Java,low
20,male,no,yes,skip 2fa,no college,20-29,Java,low
33,male,no,no,no awareness,no college,30-49,Sumatra,low
20,female,no,no,no awareness,no college,20-29,Java,low
19,female,no,no,no awareness,no college,13-19,Java,low
22,male,yes,yes,use 2fa,no college,20-29,Java,low
21,male,no,no,no awareness,no college,20-29,Sulawesi,low
19,female,no,no,no awareness,no college,13-19,Sumatra,low
18,male,yes,yes,use 2fa,no college,13-19,Sumatra,low
18,female,no,yes,skip 2fa,no college,13-19,Bali & NT,low
21,female,no,no,no awareness,no college,20-29,Sulawesi,low
19,male,no,no,no awareness,no college,13-19,Java,low
17,female,yes,yes,use 2fa,no college,13-19,Sulawesi,low
23,female,yes,yes,use 2fa,college degree,20-29,Sulawesi,low
35,female,yes,yes,use 2fa,no college,30-49,Java,low
18,male,yes,yes,use 2fa,no college,13-19,Java,low
21,female,no,no,no awareness,no college,20-29,Java,low
24,female,no,no,no awareness,no college,20-29,Java,low
19,female,no,no,no awareness,no college,13-19,Sumatra,low
20,male,no,no,no awareness,no college,20-29,Java,low
20,male,no,no,no awareness,no college,20-29,Sulawesi,low
15,female,no,no,no awareness,no college,13-19,Sulawesi,low
20,male,no,no,no awareness,college degree,20-29,Java,low
22,male,yes,yes,use 2fa,no college,20-29,Java,low
21,female,no,no,no awareness,no college,20-29,Java,low
27,female,yes,yes,use 2fa,college degree,20-29,Java,low
17,male,yes,yes,use 2fa,no college,13-19,Sulawesi,low
21,male,no,no,no awareness,no college,20-29,Java,low
23,male,yes,yes,use 2fa,no college,20-29,Java,low
21,female,no,no,no awareness,no college,20-29,Java,low
21,female,yes,yes,use 2fa,no college,20-29,Java,low
22,female,no,yes,skip 2fa,no college,20-29,Java,low
20,female,no,no,no awareness,no college,20-29,Sumatra,low
24,female,no,yes,skip 2fa,college degree,20-29,Papua & Moluccas,low
17,male,yes,yes,use 2fa,no college,13-19,Java,low
21,female,no,no,no awareness,no college,20-29,Sumatra,low
21,male,yes,yes,use 2fa,no college,20-29,Java,low
22,female,no,no,no awareness,no college,20-29,Borneo,low
22,male,yes,yes,use 2fa,no college,20-29,Java,low
24,female,no,yes,skip 2fa,college degree,20-29,Sulawesi,low
21,female,no,no,no awareness,no college,20-29,Java,low
47,male,no,no,no awareness,college degree,30-49,Sulawesi,low
20,female,no,no,no awareness,college degree,20-29,Java,low
19,female,no,no,no awareness,no college,13-19,Java,low
22,female,no,yes,skip 2fa,college degree,20-29,Sulawesi,low
22,female,no,no,no awareness,no college,20-29,Java,low
20,female,yes,yes,use 2fa,no college,20-29,Bali & NT,low
26,male,yes,yes,use 2fa,college degree,20-29,Java,low
24,female,no,yes,skip 2fa,college degree,20-29,Java,low
20,female,no,no,no awareness,no college,20-29,Java,low
19,female,no,yes,skip 2fa,no college,13-19,Papua & Moluccas,low
20,female,no,no,no awareness,no college,20-29,Sulawesi,low
23,male,no,yes,skip 2fa,college degree,20-29,Java,low
22,male,no,no,no awareness,no college,20-29,Sulawesi,low
26,female,no,no,no awareness,college degree,20-29,Java,low
25,male,no,no,no awareness,no college,20-29,Java,low
20,male,no,no,no awareness,no college,20-29,Java,low
22,male,no,yes,skip 2fa,no college,20-29,Java,low
23,female,no,yes,skip 2fa,no college,20-29,Java,low
19,female,no,no,no awareness,no college,13-19,Java,low
23,female,no,no,no awareness,no college,20-29,Java,low
21,male,yes,yes,use 2fa,no college,20-29,Bali & NT,low
21,female,yes,yes,use 2fa,no college,20-29,Java,low
22,female,no,no,no awareness,no college,20-29,Sumatra,low
21,male,yes,yes,use 2fa,college degree,20-29,Java,low
19,female,no,no,no awareness,no college,13-19,Java,low
20,male,yes,yes,use 2fa,no college,20-29,Sulawesi,low
20,female,no,no,no awareness,no college,20-29,Sulawesi,low
19,female,yes,yes,use 2fa,no college,13-19,Java,low
23,female,yes,yes,use 2fa,college degree,20-29,Sumatra,low
21,female,no,no,no awareness,no college,20-29,Sumatra,low
25,female,no,no,no awareness,college degree,20-29,Bali & NT,low
19,female,no,yes,skip 2fa,college degree,13-19,Bali & NT,low
21,female,no,no,no awareness,no college,20-29,Java,low
16,female,no,no,no awareness,no college,13-19,Java,low
20,male,no,no,no awareness,no college,20-29,Sulawesi,low
23,male,no,no,no awareness,no college,20-29,Sulawesi,low
31,male,no,yes,skip 2fa,college degree,30-49,Sumatra,low
22,female,yes,yes,use 2fa,no college,20-29,Java,low
25,female,no,no,no awareness,college degree,20-29,Sumatra,low
21,female,no,no,no awareness,no college,20-29,Sulawesi,low
19,female,no,yes,skip 2fa,no college,13-19,Java,low
25,female,yes,yes,use 2fa,college degree,20-29,Java,low
20,female,no,yes,skip 2fa,college degree,20-29,Java,low
19,female,yes,yes,use 2fa,no college,13-19,Borneo,low
24,female,no,no,no awareness,college degree,20-29,Borneo,low
23,male,no,no,no awareness,no college,20-29,Sumatra,low
18,female,no,no,no awareness,no college,13-19,Sumatra,low
22,male,no,yes,skip 2fa,college degree,20-29,Java,low
20,female,yes,yes,use 2fa,no college,20-29,Sulawesi,low
19,female,no,no,no awareness,no college,13-19,Bali & NT,low
22,male,no,no,no awareness,no college,20-29,Sumatra,low
19,female,yes,yes,use 2fa,no college,13-19,Java,low
24,male,no,no,no awareness,no college,20-29,Sumatra,low
18,female,yes,yes,use 2fa,no college,13-19,Sumatra,low
22,female,yes,yes,use 2fa,college degree,20-29,Java,low
22,female,yes,yes,use 2fa,college degree,20-29,Bali & NT,low
21,female,no,no,no awareness,no college,20-29,Java,low
21,male,yes,yes,use 2fa,no college,20-29,Java,low
21,female,yes,yes,use 2fa,no college,20-29,Java,low
16,female,yes,yes,use 2fa,no college,13-19,Sumatra,low
45,male,no,yes,skip 2fa,no college,30-49,Sumatra,low
22,female,no,yes,skip 2fa,no college,20-29,Java,low
22,female,no,yes,skip 2fa,no college,20-29,Java,low
22,female,no,no,no awareness,no college,20-29,Java,low
18,male,no,no,no awareness,no college,13-19,Bali & NT,low
28,female,no,yes,skip 2fa,college degree,20-29,Borneo,low
20,male,yes,yes,use 2fa,no college,20-29,Java,low
21,male,no,no,no awareness,no college,20-29,Bali & NT,low
24,male,yes,yes,use 2fa,no college,20-29,Sulawesi,low
23,female,no,no,no awareness,no college,20-29,Java,low
21,female,yes,yes,use 2fa,no college,20-29,Java,low
23,female,no,no,no awareness,no college,20-29,Papua & Moluccas,low
20,female,no,no,no awareness,no college,20-29,Bali & NT,low
20,female,no,yes,skip 2fa,college degree,20-29,Java,low
20,female,no,yes,skip 2fa,no college,20-29,Sulawesi,low
19,male,no,no,no awareness,no college,13-19,Sumatra,low
20,male,no,no,no awareness,no college,20-29,Sumatra,low
22,female,yes,yes,use 2fa,no college,20-29,Java,low
30,male,yes,yes,use 2fa,no college,30-49,Sulawesi,low
23,female,no,yes,skip 2fa,college degree,20-29,Java,low
14,female,no,no,no awareness,no college,13-19,Sulawesi,low
18,female,no,no,no awareness,no college,13-19,Borneo,low
21,male,no,no,no awareness,no college,20-29,Java,low
23,male,yes,yes,use 2fa,no college,20-29,Java,low
21,female,no,no,no awareness,no college,20-29,Java,low
20,male,no,no,no awareness,no college,20-29,Java,low
21,female,no,yes,skip 2fa,college degree,20-29,Bali & NT,low
19,female,yes,yes,use 2fa,no college,13-19,Java,low
21,male,no,no,no awareness,no college,20-29,Sumatra,low
19,female,no,yes,skip 2fa,no college,13-19,Sumatra,low
19,female,no,no,no awareness,no college,13-19,Sumatra,low
20,female,yes,yes,use 2fa,no college,20-29,Java,low
19,female,no,yes,skip 2fa,no college,13-19,Sumatra,low
20,female,no,no,no awareness,no college,20-29,Java,low
22,female,no,no,no awareness,no college,20-29,Java,low
21,female,no,no,no awareness,no college,20-29,Java,low
24,male,yes,yes,use 2fa,no college,20-29,Java,low
22,female,no,no,no awareness,college degree,20-29,Bali & NT,low
19,male,yes,yes,use 2fa,no college,13-19,Java,low
20,male,no,yes,skip 2fa,no college,20-29,Java,low
27,female,yes,yes,use 2fa,college degree,20-29,Java,low
27,female,no,yes,skip 2fa,no college,20-29,Sumatra,low
21,female,yes,yes,use 2fa,no college,20-29,Sumatra,low
24,male,yes,yes,use 2fa,college degree,20-29,Java,low
19,female,no,yes,skip 2fa,no college,13-19,Java,low
18,female,no,no,no awareness,no college,13-19,Java,low
23,female,no,no,no awareness,college degree,20-29,Sulawesi,low
20,male,no,yes,skip 2fa,no college,20-29,Sumatra,low
21,female,no,no,no awareness,college degree,20-29,Java,low
20,female,no,no,no awareness,no college,20-29,Sumatra,low
23,male,no,yes,skip 2fa,no college,20-29,Sumatra,low
19,male,no,no,no awareness,no college,13-19,Sumatra,low
24,female,no,yes,skip 2fa,no college,20-29,Sumatra,low
25,male,no,yes,skip 2fa,no college,20-29,Sumatra,low
19,female,no,no,no awareness,no college,13-19,Sumatra,low
20,female,yes,yes,use 2fa,no college,20-29,Sumatra,low
23,male,no,yes,skip 2fa,no college,20-29,Sumatra,low
21,female,no,no,no awareness,no college,20-29,Borneo,low
23,male,no,yes,skip 2fa,no college,20-29,Sumatra,low
23,female,no,no,no awareness,no college,20-29,Java,low
20,female,no,no,no awareness,no college,20-29,Java,low
20,male,no,no,no awareness,no college,20-29,Sulawesi,low
21,male,yes,yes,use 2fa,no college,20-29,Java,low
19,female,yes,yes,use 2fa,no college,13-19,Java,low
17,female,no,no,no awareness,no college,13-19,Java,low
20,female,no,no,no awareness,no college,20-29,Java,low
19,female,no,no,no awareness,no college,13-19,Borneo,low
21,male,yes,yes,use 2fa,no college,20-29,Java,low
30,male,no,yes,skip 2fa,college degree,30-49,Bali & NT,low
22,female,yes,yes,use 2fa,college degree,20-29,Sulawesi,low
22,female,no,no,no awareness,no college,20-29,Java,low
21,female,no,no,no awareness,no college,20-29,Java,low
20,male,yes,yes,use 2fa,no college,20-29,Java,low
20,female,no,no,no awareness,no college,20-29,Sumatra,low
19,male,yes,yes,use 2fa,no college,13-19,Java,low
23,male,yes,yes,use 2fa,college degree,20-29,Bali & NT,low
19,male,no,yes,skip 2fa,no college,13-19,Sumatra,low
21,female,no,no,no awareness,no college,20-29,Java,low
19,female,no,no,no awareness,no college,13-19,Java,low
24,male,no,no,no awareness,no college,20-29,Sulawesi,low
20,female,no,no,no awareness,no college,20-29,Java,low
19,female,no,no,no awareness,no college,13-19,Java,low
16,female,no,yes,skip 2fa,no college,13-19,Java,low
17,male,no,yes,skip 2fa,no college,13-19,Bali & NT,low
22,male,no,no,no awareness,no college,20-29,Sumatra,low
22,female,no,no,no awareness,college degree,20-29,Java,low
21,female,no,no,no awareness,college degree,20-29,Java,low
19,female,yes,yes,use 2fa,no college,13-19,Java,low
25,male,no,yes,skip 2fa,college degree,20-29,Sulawesi,low
29,female,no,no,no awareness,no college,20-29,Java,low
21,female,no,yes,skip 2fa,no college,20-29,Sumatra,low
26,female,no,no,no awareness,college degree,20-29,Java,low
16,male,no,yes,skip 2fa,no college,13-19,Java,low
21,female,no,no,no awareness,college degree,20-29,Java,low
22,female,no,yes,skip 2fa,no college,20-29,Java,low
21,male,no,yes,skip 2fa,no college,20-29,Sumatra,low
21,female,no,no,no awareness,no college,20-29,Sulawesi,low
22,male,no,no,no awareness,no college,20-29,Java,low
23,female,no,no,no awareness,college degree,20-29,Bali & NT,low
20,female,no,no,no awareness,no college,20-29,Sumatra,low
22,female,yes,yes,use 2fa,college degree,20-29,Java,low
23,female,no,no,no awareness,college degree,20-29,Borneo,low
21,female,no,no,no awareness,no college,20-29,Java,low
20,female,no,yes,skip 2fa,no college,20-29,Java,low
23,male,no,yes,skip 2fa,college degree,20-29,Java,low
21,female,no,no,no awareness,no college,20-29,Borneo,low
18,female,no,no,no awareness,no college,13-19,Java,low
19,female,yes,yes,use 2fa,no college,13-19,Java,low
24,female,no,no,no awareness,college degree,20-29,Papua & Moluccas,low
18,female,no,no,no awareness,no college,13-19,Java,low
23,female,no,yes,skip 2fa,college degree,20-29,Sulawesi,low
25,female,no,no,no awareness,no college,20-29,Java,low
24,female,no,no,no awareness,no college,20-29,Sulawesi,low
22,female,no,no,no awareness,no college,20-29,Java,low
17,female,yes,yes,use 2fa,no college,13-19,Java,low
20,male,no,no,no awareness,no college,20-29,Java,low
22,male,no,no,no awareness,no college,20-29,Sumatra,low
21,male,no,yes,skip 2fa,college degree,20-29,Java,low
23,female,no,no,no awareness,college degree,20-29,Sulawesi,low
18,female,yes,yes,use 2fa,no college,13-19,Java,low
16,female,no,yes,skip 2fa,no college,13-19,Sulawesi,low
19,female,no,no,no awareness,college degree,13-19,Bali & NT,low
21,female,no,no,no awareness,no college,20-29,Java,low
22,female,no,yes,skip 2fa,college degree,20-29,Sulawesi,low
23,male,no,no,no awareness,no college,20-29,Java,low
21,male,yes,yes,use 2fa,no college,20-29,Java,low
20,male,yes,yes,use 2fa,no college,20-29,Sulawesi,low
25,male,yes,yes,use 2fa,no college,20-29,Sulawesi,low
22,female,no,no,no awareness,no college,20-29,Bali & NT,low
24,male,yes,yes,use 2fa,college degree,20-29,Java,low
21,female,no,no,no awareness,no college,20-29,Java,low
22,female,no,no,no awareness,no college,20-29,Java,low
21,female,no,yes,skip 2fa,no college,20-29,Java,low
24,male,yes,yes,use 2fa,college degree,20-29,Sulawesi,low
22,female,no,yes,skip 2fa,no college,20-29,Java,low
21,male,no,yes,skip 2fa,no college,20-29,Java,low
21,female,no,no,no awareness,college degree,20-29,Borneo,low
22,male,no,yes,skip 2fa,no college,20-29,Java,low
20,male,yes,yes,use 2fa,no college,20-29,Java,low
20,female,no,no,no awareness,college degree,20-29,Java,low
21,female,no,no,no awareness,no college,20-29,Sulawesi,low
20,male,yes,yes,use 2fa,no college,20-29,Java,low
20,female,no,no,no awareness,no college,20-29,Sumatra,low
21,female,no,no,no awareness,no college,20-29,Java,low
19,female,no,no,no awareness,no college,13-19,Java,low
29,male,yes,yes,use 2fa,no college,20-29,Java,low
24,female,yes,yes,use 2fa,no college,20-29,Bali & NT,low
20,female,no,no,no awareness,no college,20-29,Sumatra,low
21,female,no,yes,skip 2fa,college degree,20-29,Sulawesi,low
22,female,no,no,no awareness,no college,20-29,Sulawesi,low
21,female,no,no,no awareness,no college,20-29,Java,low
25,female,no,no,no awareness,college degree,20-29,Java,low
21,female,yes,yes,use 2fa,no college,20-29,Java,low
17,female,yes,yes,use 2fa,no college,13-19,Java,low
25,male,no,yes,skip 2fa,no college,20-29,Java,low
22,male,no,yes,skip 2fa,college degree,20-29,Papua & Moluccas,low
19,female,no,no,no awareness,no college,13-19,Java,low
20,male,no,no,no awareness,no college,20-29,Bali & NT,low
19,female,no,no,no awareness,no college,13-19,Sumatra,low
18,female,no,no,no awareness,no college,13-19,Java,low
21,female,no,no,no awareness,no college,20-29,Java,low
20,female,no,yes,skip 2fa,no college,20-29,Java,low
22,male,no,no,no awareness,no college,20-29,Java,low
21,female,no,no,no awareness,no college,20-29,Java,low
23,female,no,no,no awareness,no college,20-29,Java,low
19,female,no,yes,skip 2fa,no college,13-19,Sumatra,low
18,male,yes,yes,use 2fa,no college,13-19,Sumatra,low
23,male,yes,yes,use 2fa,college degree,20-29,Java,low
20,female,no,no,no awareness,no college,20-29,Sulawesi,low
21,male,no,yes,skip 2fa,no college,20-29,Sulawesi,low
24,male,no,yes,skip 2fa,college degree,20-29,Sulawesi,low
21,female,no,yes,skip 2fa,no college,20-29,Java,low
24,female,no,no,no awareness,college degree,20-29,Bali & NT,low
17,female,no,no,no awareness,no college,13-19,Sumatra,low
20,female,yes,yes,use 2fa,no college,20-29,Java,low
23,female,yes,yes,use 2fa,no college,20-29,Java,low
22,male,no,no,no awareness,no college,20-29,Sulawesi,low
21,female,yes,yes,use 2fa,no college,20-29,Bali & NT,low
25,male,no,no,no awareness,college degree,20-29,Sulawesi,low
19,female,no,no,no awareness,no college,13-19,Sumatra,low
21,female,yes,yes,use 2fa,no college,20-29,Java,low
21,male,yes,yes,use 2fa,no college,20-29,Java,low
21,female,yes,yes,use 2fa,no college,20-29,Bali & NT,low
18,female,no,no,no awareness,no college,13-19,Java,low
20,female,no,no,no awareness,no college,20-29,Sumatra,low
25,female,no,no,no awareness,college degree,20-29,Sulawesi,low
21,male,no,no,no awareness,no college,20-29,Java,low
22,male,yes,yes,use 2fa,no college,20-29,Java,low
21,female,yes,yes,use 2fa,no college,20-29,Bali & NT,low
19,male,yes,yes,use 2fa,no college,13-19,Java,low
20,female,no,yes,skip 2fa,no college,20-29,Java,low
23,male,no,yes,skip 2fa,no college,20-29,Bali & NT,low
21,female,no,yes,skip 2fa,college degree,20-29,Java,low
13,male,no,yes,skip 2fa,no college,13-19,Sulawesi,low
24,male,no,no,no awareness,no college,20-29,Java,low
20,male,no,no,no awareness,no college,20-29,Sumatra,low
21,female,no,no,no awareness,no college,20-29,Java,low
23,female,no,yes,skip 2fa,no college,20-29,Bali & NT,low
23,female,no,no,no awareness,no college,20-29,Java,low
22,male,no,yes,skip 2fa,college degree,20-29,Java,low
20,female,no,no,no awareness,no college,20-29,Java,low
21,female,no,no,no awareness,no college,20-29,Java,low
22,male,no,no,no awareness,college degree,20-29,Java,low
19,female,no,yes,skip 2fa,no college,13-19,Java,low
21,male,no,yes,skip 2fa,no college,20-29,Java,low
20,female,no,no,no awareness,no college,20-29,Java,low
22,female,no,no,no awareness,college degree,20-29,Java,low
19,female,no,yes,skip 2fa,no college,13-19,Java,low
17,female,yes,yes,use 2fa,no college,13-19,Java,low
19,female,no,no,no awareness,no college,13-19,Sumatra,low
20,male,yes,yes,use 2fa,college degree,20-29,Java,low
25,female,no,yes,skip 2fa,no college,20-29,Sulawesi,low
20,female,no,no,no awareness,no college,20-29,Sumatra,low
20,male,no,yes,skip 2fa,no college,20-29,Java,low
23,male,yes,yes,use 2fa,college degree,20-29,Java,low
19,male,no,no,no awareness,no college,13-19,Java,low
25,female,no,yes,skip 2fa,no college,20-29,Sulawesi,low
19,female,no,yes,skip 2fa,no college,13-19,Sulawesi,low
22,female,no,yes,skip 2fa,no college,20-29,Bali & NT,low
20,female,no,no,no awareness,no college,20-29,Sumatra,low
18,male,no,no,no awareness,no college,13-19,Sulawesi,low
20,male,no,yes,skip 2fa,no college,20-29,Java,low
22,male,no,yes,skip 2fa,no college,20-29,Papua & Moluccas,low
16,female,no,no,no awareness,no college,13-19,Sumatra,low
19,female,no,no,no awareness,no college,13-19,Sumatra,low
19,male,no,no,no awareness,no college,13-19,Java,low
16,female,yes,yes,use 2fa,no college,13-19,Java,low
22,female,no,no,no awareness,no college,20-29,Bali & NT,low
17,female,no,yes,skip 2fa,no college,13-19,Java,low
21,female,yes,yes,use 2fa,no college,20-29,Java,low
17,female,no,yes,skip 2fa,no college,13-19,Sulawesi,low
18,male,yes,yes,use 2fa,no college,13-19,Java,low
17,female,no,no,no awareness,no college,13-19,Sulawesi,low
20,female,no,yes,skip 2fa,no college,20-29,Java,low
21,female,yes,yes,use 2fa,no college,20-29,Bali & NT,low
22,male,no,no,no awareness,no college,20-29,Sulawesi,low
30,male,no,no,no awareness,college degree,30-49,Sulawesi,low
21,male,no,yes,skip 2fa,no college,20-29,Sulawesi,low
22,male,yes,yes,use 2fa,no college,20-29,Sulawesi,low
21,female,no,no,no awareness,no college,20-29,Bali & NT,low
23,female,no,no,no awareness,no college,20-29,Sulawesi,low
21,female,no,yes,skip 2fa,no college,20-29,Sulawesi,low
22,male,no,yes,skip 2fa,no college,20-29,Java,low
26,female,no,no,no awareness,college degree,20-29,Java,low
23,female,no,yes,skip 2fa,college degree,20-29,Sumatra,low
24,female,yes,yes,use 2fa,college degree,20-29,Sumatra,low
24,male,no,no,no awareness,no college,20-29,Java,low
22,female,yes,yes,use 2fa,no college,20-29,Bali & NT,low
21,female,no,yes,skip 2fa,no college,20-29,Java,low
21,female,no,no,no awareness,no college,20-29,Java,low
23,female,no,no,no awareness,college degree,20-29,Java,low
31,female,no,no,no awareness,no college,30-49,Sulawesi,low
24,female,yes,yes,use 2fa,college degree,20-29,Bali & NT,low
22,female,no,no,no awareness,no college,20-29,Java,low
18,female,yes,yes,use 2fa,no college,13-19,Java,low
19,female,no,no,no awareness,no college,13-19,Java,low
19,male,yes,yes,use 2fa,no college,13-19,Java,low
21,female,no,no,no awareness,no college,20-29,Java,low
19,male,yes,yes,use 2fa,no college,13-19,Java,low
23,male,no,no,no awareness,no college,20-29,Java,low
24,female,no,no,no awareness,college degree,20-29,Sulawesi,low
21,female,no,no,no awareness,no college,20-29,Java,low
44,male,no,no,no awareness,no college,30-49,Sulawesi,low
23,female,no,no,no awareness,no college,20-29,Borneo,low
22,male,yes,yes,use 2fa,no college,20-29,Java,low
17,male,no,no,no awareness,no college,13-19,Sulawesi,low
23,female,no,no,no awareness,no college,20-29,Java,low
20,female,no,no,no awareness,no college,20-29,Java,low
24,male,no,no,no awareness,college degree,20-29,Sulawesi,low
20,female,no,no,no awareness,no college,20-29,Sumatra,low
13,female,no,no,no awareness,no college,13-19,Sulawesi,low
18,female,no,no,no awareness,no college,13-19,Java,low
20,male,no,no,no awareness,no college,20-29,Sulawesi,low
14,male,no,no,no awareness,no college,13-19,Sulawesi,low
19,female,no,no,no awareness,college degree,13-19,Sumatra,low
23,female,no,no,no awareness,no college,20-29,Java,low
18,female,yes,yes,use 2fa,no college,13-19,Java,low
17,female,yes,yes,use 2fa,no college,13-19,Java,low
21,female,no,no,no awareness,no college,20-29,Sulawesi,low
23,female,yes,yes,use 2fa,college degree,20-29,Sulawesi,low
18,female,no,yes,skip 2fa,no college,13-19,Java,low
20,male,no,yes,skip 2fa,no college,20-29,Java,low
25,female,no,no,no awareness,college degree,20-29,Java,low
22,male,no,yes,skip 2fa,no college,20-29,Java,low
24,female,no,yes,skip 2fa,college degree,20-29,Sulawesi,low
20,female,no,no,no awareness,no college,20-29,Borneo,low
25,female,no,yes,skip 2fa,no college,20-29,Sulawesi,low
19,female,no,no,no awareness,no college,13-19,Sulawesi,low
20,female,yes,yes,use 2fa,no college,20-29,Sumatra,low
23,female,no,no,no awareness,college degree,20-29,Java,low
21,female,no,no,no awareness,no college,20-29,Java,low
